Name,Y,X,WTG File
1,2.25,36.25,126432
2,2.25,36.75,126433
3,2.25,37.25,126434
4,2.25,37.75,126435
5,2.25,38.25,126436
6,1.75,36.25,127152
7,1.75,36.75,127153
8,1.75,37.25,127154
9,1.75,37.75,127155
10,1.75,38.25,127156
11,1.25,36.25,127872
12,1.25,36.75,127873
13,1.25,37.25,127874
14,1.25,37.75,127875
15,1.25,38.25,127876
16,0.75,36.25,128592
17,0.75,36.75,128593
18,0.75,37.25,128594
19,0.75,37.75,128595
20,0.75,38.25,128596
21,0.25,36.25,129312
22,0.25,36.75,129313
23,0.25,37.25,129314
24,0.25,37.75,129315
25,0.25,38.25,129316
